"wavenumber","intensity","File"
1234.219,0.2155956,"./Lazar_omnic_11.CSV_breakoff.csv"
1241.933,0.2437605,"./Lazar_omnic_11.CSV_breakoff.csv"
1249.646,0.254096,"./Lazar_omnic_11.CSV_breakoff.csv"
1257.36,0.2483967,"./Lazar_omnic_11.CSV_breakoff.csv"
1265.074,0.2326598,"./Lazar_omnic_11.CSV_breakoff.csv"
1272.788,0.2150843,"./Lazar_omnic_11.CSV_breakoff.csv"
1280.502,0.2043474,"./Lazar_omnic_11.CSV_breakoff.csv"
1288.216,0.2031917,"./Lazar_omnic_11.CSV_breakoff.csv"
1295.93,0.20888,"./Lazar_omnic_11.CSV_breakoff.csv"
1303.644,0.2224541,"./Lazar_omnic_11.CSV_breakoff.csv"
1311.357,0.2428226,"./Lazar_omnic_11.CSV_breakoff.csv"
1319.071,0.2667349,"./Lazar_omnic_11.CSV_breakoff.csv"
1326.785,0.2925265,"./Lazar_omnic_11.CSV_breakoff.csv"
1334.499,0.3201701,"./Lazar_omnic_11.CSV_breakoff.csv"
1342.213,0.3387774,"./Lazar_omnic_11.CSV_breakoff.csv"
1349.927,0.3586025,"./Lazar_omnic_11.CSV_breakoff.csv"
1357.641,0.3874857,"./Lazar_omnic_11.CSV_breakoff.csv"
1365.354,0.4148101,"./Lazar_omnic_11.CSV_breakoff.csv"
1373.068,0.4245204,"./Lazar_omnic_11.CSV_breakoff.csv"
1380.782,0.4186341,"./Lazar_omnic_11.CSV_breakoff.csv"
1388.496,0.4090666,"./Lazar_omnic_11.CSV_breakoff.csv"
1396.21,0.4094389,"./Lazar_omnic_11.CSV_breakoff.csv"
1403.924,0.426764,"./Lazar_omnic_11.CSV_breakoff.csv"
1411.638,0.4390368,"./Lazar_omnic_11.CSV_breakoff.csv"
1419.352,0.4345189,"./Lazar_omnic_11.CSV_breakoff.csv"
1427.065,0.4087536,"./Lazar_omnic_11.CSV_breakoff.csv"
1434.779,0.3734867,"./Lazar_omnic_11.CSV_breakoff.csv"
1442.493,0.3337674,"./Lazar_omnic_11.CSV_breakoff.csv"
1450.207,0.2978403,"./Lazar_omnic_11.CSV_breakoff.csv"
1457.921,0.2600064,"./Lazar_omnic_11.CSV_breakoff.csv"
1465.635,0.2066934,"./Lazar_omnic_11.CSV_breakoff.csv"
1473.349,0.1340182,"./Lazar_omnic_11.CSV_breakoff.csv"
1481.063,0.08350866,"./Lazar_omnic_11.CSV_breakoff.csv"
1488.776,0.05740863,"./Lazar_omnic_11.CSV_breakoff.csv"
1496.49,0.07302161,"./Lazar_omnic_11.CSV_breakoff.csv"
1504.204,0.0926853,"./Lazar_omnic_11.CSV_breakoff.csv"
1511.918,0.1237665,"./Lazar_omnic_11.CSV_breakoff.csv"
1519.632,0.1519052,"./Lazar_omnic_11.CSV_breakoff.csv"
1527.346,0.1934799,"./Lazar_omnic_11.CSV_breakoff.csv"
1535.06,0.2431631,"./Lazar_omnic_11.CSV_breakoff.csv"
1542.773,0.3121112,"./Lazar_omnic_11.CSV_breakoff.csv"
1550.487,0.3799231,"./Lazar_omnic_11.CSV_breakoff.csv"
1558.201,0.4668202,"./Lazar_omnic_11.CSV_breakoff.csv"
1565.915,0.5562637,"./Lazar_omnic_11.CSV_breakoff.csv"
1573.629,0.6773874,"./Lazar_omnic_11.CSV_breakoff.csv"
1581.343,0.7972285,"./Lazar_omnic_11.CSV_breakoff.csv"
1589.057,0.8914493,"./Lazar_omnic_11.CSV_breakoff.csv"
1596.771,0.9488357,"./Lazar_omnic_11.CSV_breakoff.csv"
1604.484,0.9570748,"./Lazar_omnic_11.CSV_breakoff.csv"
1612.198,0.930841,"./Lazar_omnic_11.CSV_breakoff.csv"
1619.912,0.8899208,"./Lazar_omnic_11.CSV_breakoff.csv"
1627.626,0.8431338,"./Lazar_omnic_11.CSV_breakoff.csv"
1635.34,0.7939385,"./Lazar_omnic_11.CSV_breakoff.csv"
1643.054,0.7406498,"./Lazar_omnic_11.CSV_breakoff.csv"
1650.768,0.6863034,"./Lazar_omnic_11.CSV_breakoff.csv"
1658.481,0.6099481,"./Lazar_omnic_11.CSV_breakoff.csv"
1666.195,0.5241512,"./Lazar_omnic_11.CSV_breakoff.csv"
1673.909,0.4422187,"./Lazar_omnic_11.CSV_breakoff.csv"
1681.623,0.3565121,"./Lazar_omnic_11.CSV_breakoff.csv"
1689.337,0.2944987,"./Lazar_omnic_11.CSV_breakoff.csv"
1697.051,0.2648421,"./Lazar_omnic_11.CSV_breakoff.csv"
